iteration,puzzle_id,method,best_move_score,move_score
0,1,Random,195,21
1,1,Random,195,-473
2,1,Random,195,21
3,1,Random,195,-52
4,1,Random,195,-52
5,1,Random,195,52
6,1,Random,195,119
7,1,Random,195,97
8,1,Random,195,-52
9,1,Random,195,85
10,1,Random,195,35
11,1,Random,195,85
12,1,Random,195,47
13,1,Random,195,2
14,1,Random,195,195
15,1,Random,195,35
16,1,Random,195,57
17,1,Random,195,31
18,1,Random,195,46
19,1,Random,195,50
20,1,Random,195,85
21,1,Random,195,46
22,1,Random,195,-473
23,1,Random,195,18
24,1,Random,195,51
25,1,Random,195,51
26,1,Random,195,0
27,1,Random,195,21
28,1,Random,195,195
29,1,Random,195,43
30,1,Random,195,43
31,1,Random,195,41
32,1,Random,195,69
33,1,Random,195,35
34,1,Random,195,31
35,1,Random,195,43
36,1,Random,195,97
37,1,Random,195,50
38,1,Random,195,21
39,1,Random,195,35
40,1,Random,195,85
41,1,Random,195,51
42,1,Random,195,21
43,1,Random,195,77
44,1,Random,195,1
45,1,Random,195,2
46,1,Random,195,85
47,1,Random,195,57
48,1,Random,195,43
49,1,Random,195,69
0,2,Random,156,16
1,2,Random,156,-63
2,2,Random,156,-33
3,2,Random,156,-41
4,2,Random,156,-41
5,2,Random,156,-18
6,2,Random,156,-98
7,2,Random,156,-711
8,2,Random,156,-41
9,2,Random,156,-47
10,2,Random,156,-64
11,2,Random,156,-47
12,2,Random,156,156
13,2,Random,156,-176
14,2,Random,156,-469
15,2,Random,156,-33
16,2,Random,156,-24
17,2,Random,156,73
18,2,Random,156,-15
19,2,Random,156,-18
20,2,Random,156,5
21,2,Random,156,-15
22,2,Random,156,-33
23,2,Random,156,-53
24,2,Random,156,-67
25,2,Random,156,-29
26,2,Random,156,-22
27,2,Random,156,53
28,2,Random,156,-469
29,2,Random,156,-16
30,2,Random,156,-16
31,2,Random,156,43
32,2,Random,156,-41
33,2,Random,156,-64
34,2,Random,156,73
35,2,Random,156,-16
36,2,Random,156,-711
37,2,Random,156,-18
38,2,Random,156,53
39,2,Random,156,-7
40,2,Random,156,-47
41,2,Random,156,-29
42,2,Random,156,53
43,2,Random,156,-8
44,2,Random,156,77
45,2,Random,156,-176
46,2,Random,156,5
47,2,Random,156,-24
48,2,Random,156,-16
49,2,Random,156,-41
0,3,Random,75,30
1,3,Random,75,-518
2,3,Random,75,30
3,3,Random,75,39
4,3,Random,75,39
5,3,Random,75,13
6,3,Random,75,11
7,3,Random,75,-79
8,3,Random,75,39
9,3,Random,75,-17
10,3,Random,75,-11
11,3,Random,75,-17
12,3,Random,75,-28
13,3,Random,75,-89
14,3,Random,75,-444
15,3,Random,75,22
16,3,Random,75,-41
17,3,Random,75,24
18,3,Random,75,1
19,3,Random,75,5
20,3,Random,75,-35
21,3,Random,75,1
22,3,Random,75,19
23,3,Random,75,19
24,3,Random,75,10
25,3,Random,75,-9
26,3,Random,75,18
27,3,Random,75,50
28,3,Random,75,-444
29,3,Random,75,17
30,3,Random,75,17
31,3,Random,75,-79
32,3,Random,75,21
33,3,Random,75,-11
34,3,Random,75,24
35,3,Random,75,17
36,3,Random,75,-79
37,3,Random,75,5
38,3,Random,75,50
39,3,Random,75,22
40,3,Random,75,-17
41,3,Random,75,-9
42,3,Random,75,50
43,3,Random,75,50
44,3,Random,75,38
45,3,Random,75,-89
46,3,Random,75,-35
47,3,Random,75,-41
48,3,Random,75,17
49,3,Random,75,21
0,4,Random,96,31
1,4,Random,96,6
2,4,Random,96,31
3,4,Random,96,48
4,4,Random,96,48
5,4,Random,96,19
6,4,Random,96,15
7,4,Random,96,-21
8,4,Random,96,48
9,4,Random,96,-23
10,4,Random,96,38
11,4,Random,96,-23
12,4,Random,96,29
13,4,Random,96,-43
14,4,Random,96,-546
15,4,Random,96,16
16,4,Random,96,-2
17,4,Random,96,29
18,4,Random,96,34
19,4,Random,96,39
20,4,Random,96,-17
21,4,Random,96,34
22,4,Random,96,26
23,4,Random,96,26
24,4,Random,96,47
25,4,Random,96,15
26,4,Random,96,47
27,4,Random,96,20
28,4,Random,96,-546
29,4,Random,96,37
30,4,Random,96,37
31,4,Random,96,7
32,4,Random,96,47
33,4,Random,96,38
34,4,Random,96,29
35,4,Random,96,37
36,4,Random,96,-21
37,4,Random,96,39
38,4,Random,96,20
39,4,Random,96,16
40,4,Random,96,-23
41,4,Random,96,15
42,4,Random,96,20
43,4,Random,96,70
44,4,Random,96,64
45,4,Random,96,-43
46,4,Random,96,-17
47,4,Random,96,-2
48,4,Random,96,37
49,4,Random,96,47
0,5,Random,160,55
1,5,Random,160,64
2,5,Random,160,55
3,5,Random,160,81
4,5,Random,160,81
5,5,Random,160,75
6,5,Random,160,93
7,5,Random,160,-31
8,5,Random,160,81
9,5,Random,160,27
10,5,Random,160,48
11,5,Random,160,27
12,5,Random,160,-42
13,5,Random,160,-49
14,5,Random,160,-476
15,5,Random,160,72
16,5,Random,160,39
17,5,Random,160,100
18,5,Random,160,121
19,5,Random,160,85
20,5,Random,160,35
21,5,Random,160,121
22,5,Random,160,82
23,5,Random,160,82
24,5,Random,160,105
25,5,Random,160,18
26,5,Random,160,82
27,5,Random,160,108
28,5,Random,160,-476
29,5,Random,160,82
30,5,Random,160,82
31,5,Random,160,108
32,5,Random,160,142
33,5,Random,160,48
34,5,Random,160,100
35,5,Random,160,82
36,5,Random,160,-31
37,5,Random,160,85
38,5,Random,160,108
39,5,Random,160,72
40,5,Random,160,27
41,5,Random,160,18
42,5,Random,160,108
43,5,Random,160,144
44,5,Random,160,129
45,5,Random,160,-49
46,5,Random,160,35
47,5,Random,160,39
48,5,Random,160,82
49,5,Random,160,142
0,6,Random,73,27
1,6,Random,73,11
2,6,Random,73,27
3,6,Random,73,45
4,6,Random,73,45
5,6,Random,73,21
6,6,Random,73,39
7,6,Random,73,-63
8,6,Random,73,45
9,6,Random,73,-12
10,6,Random,73,8
11,6,Random,73,-12
12,6,Random,73,12
13,6,Random,73,-67
14,6,Random,73,-499
15,6,Random,73,19
16,6,Random,73,-12
17,6,Random,73,35
18,6,Random,73,18
19,6,Random,73,30
20,6,Random,73,-35
21,6,Random,73,18
22,6,Random,73,21
23,6,Random,73,21
24,6,Random,73,32
25,6,Random,73,5
26,6,Random,73,10
27,6,Random,73,46
28,6,Random,73,-499
29,6,Random,73,10
30,6,Random,73,10
31,6,Random,73,-58
32,6,Random,73,46
33,6,Random,73,8
34,6,Random,73,35
35,6,Random,73,10
36,6,Random,73,-63
37,6,Random,73,30
38,6,Random,73,46
39,6,Random,73,19
40,6,Random,73,-12
41,6,Random,73,5
42,6,Random,73,46
43,6,Random,73,68
44,6,Random,73,67
45,6,Random,73,-67
46,6,Random,73,-35
47,6,Random,73,-12
48,6,Random,73,10
49,6,Random,73,46
0,7,Random,205,111
1,7,Random,205,57
2,7,Random,205,111
3,7,Random,205,115
4,7,Random,205,115
5,7,Random,205,137
6,7,Random,205,51
7,7,Random,205,20
8,7,Random,205,115
9,7,Random,205,104
10,7,Random,205,87
11,7,Random,205,104
12,7,Random,205,19
13,7,Random,205,-19
14,7,Random,205,-404
15,7,Random,205,49
16,7,Random,205,43
17,7,Random,205,136
18,7,Random,205,146
19,7,Random,205,41
20,7,Random,205,63
21,7,Random,205,146
22,7,Random,205,114
23,7,Random,205,114
24,7,Random,205,130
25,7,Random,205,21
26,7,Random,205,169
27,7,Random,205,125
28,7,Random,205,-404
29,7,Random,205,38
30,7,Random,205,38
31,7,Random,205,68
32,7,Random,205,142
33,7,Random,205,87
34,7,Random,205,136
35,7,Random,205,38
36,7,Random,205,20
37,7,Random,205,41
38,7,Random,205,125
39,7,Random,205,49
40,7,Random,205,104
41,7,Random,205,21
42,7,Random,205,125
43,7,Random,205,106
44,7,Random,205,176
45,7,Random,205,-19
46,7,Random,205,63
47,7,Random,205,43
48,7,Random,205,38
49,7,Random,205,142
0,8,Random,135,45
1,8,Random,135,23
2,8,Random,135,45
3,8,Random,135,95
4,8,Random,135,95
5,8,Random,135,42
6,8,Random,135,28
7,8,Random,135,-778
8,8,Random,135,95
9,8,Random,135,11
10,8,Random,135,15
11,8,Random,135,11
12,8,Random,135,15
13,8,Random,135,-64
14,8,Random,135,-477
15,8,Random,135,26
16,8,Random,135,-34
17,8,Random,135,85
18,8,Random,135,48
19,8,Random,135,25
20,8,Random,135,-20
21,8,Random,135,48
22,8,Random,135,56
23,8,Random,135,56
24,8,Random,135,44
25,8,Random,135,7
26,8,Random,135,6
27,8,Random,135,52
28,8,Random,135,-477
29,8,Random,135,-21
30,8,Random,135,-21
31,8,Random,135,-24
32,8,Random,135,42
33,8,Random,135,15
34,8,Random,135,85
35,8,Random,135,-21
36,8,Random,135,-778
37,8,Random,135,25
38,8,Random,135,52
39,8,Random,135,26
40,8,Random,135,11
41,8,Random,135,7
42,8,Random,135,52
43,8,Random,135,108
44,8,Random,135,69
45,8,Random,135,-64
46,8,Random,135,-20
47,8,Random,135,-34
48,8,Random,135,-21
49,8,Random,135,42
0,9,Random,126,62
1,9,Random,126,17
2,9,Random,126,62
3,9,Random,126,75
4,9,Random,126,75
5,9,Random,126,64
6,9,Random,126,3
7,9,Random,126,-715
8,9,Random,126,75
9,9,Random,126,41
10,9,Random,126,18
11,9,Random,126,41
12,9,Random,126,-14
13,9,Random,126,-57
14,9,Random,126,-462
15,9,Random,126,36
16,9,Random,126,23
17,9,Random,126,102
18,9,Random,126,78
19,9,Random,126,35
20,9,Random,126,-25
21,9,Random,126,78
22,9,Random,126,56
23,9,Random,126,56
24,9,Random,126,77
25,9,Random,126,14
26,9,Random,126,56
27,9,Random,126,66
28,9,Random,126,-462
29,9,Random,126,11
30,9,Random,126,11
31,9,Random,126,-20
32,9,Random,126,67
33,9,Random,126,18
34,9,Random,126,102
35,9,Random,126,11
36,9,Random,126,-715
37,9,Random,126,35
38,9,Random,126,66
39,9,Random,126,36
40,9,Random,126,41
41,9,Random,126,14
42,9,Random,126,66
43,9,Random,126,125
44,9,Random,126,130
45,9,Random,126,-57
46,9,Random,126,-25
47,9,Random,126,23
48,9,Random,126,11
49,9,Random,126,67
0,10,Random,86,41
1,10,Random,86,21
2,10,Random,86,41
3,10,Random,86,49
4,10,Random,86,49
5,10,Random,86,20
6,10,Random,86,41
7,10,Random,86,-73
8,10,Random,86,49
9,10,Random,86,2
10,10,Random,86,15
11,10,Random,86,2
12,10,Random,86,13
13,10,Random,86,-82
14,10,Random,86,-516
15,10,Random,86,23
16,10,Random,86,-29
17,10,Random,86,45
18,10,Random,86,30
19,10,Random,86,19
20,10,Random,86,-144
21,10,Random,86,30
22,10,Random,86,42
23,10,Random,86,42
24,10,Random,86,52
25,10,Random,86,15
26,10,Random,86,19
27,10,Random,86,59
28,10,Random,86,-516
29,10,Random,86,36
30,10,Random,86,36
31,10,Random,86,-59
32,10,Random,86,33
33,10,Random,86,15
34,10,Random,86,45
35,10,Random,86,36
36,10,Random,86,-73
37,10,Random,86,19
38,10,Random,86,59
39,10,Random,86,23
40,10,Random,86,2
41,10,Random,86,15
42,10,Random,86,59
43,10,Random,86,86
44,10,Random,86,89
45,10,Random,86,-82
46,10,Random,86,-144
47,10,Random,86,-29
48,10,Random,86,36
49,10,Random,86,33
0,11,Random,115,59
1,11,Random,115,61
2,11,Random,115,59
3,11,Random,115,98
4,11,Random,115,98
5,11,Random,115,62
6,11,Random,115,57
7,11,Random,115,-29
8,11,Random,115,98
9,11,Random,115,42
10,11,Random,115,45
11,11,Random,115,42
12,11,Random,115,72
13,11,Random,115,-51
14,11,Random,115,81
15,11,Random,115,-23
16,11,Random,115,58
17,11,Random,115,90
18,11,Random,115,83
19,11,Random,115,81
20,11,Random,115,-51
21,11,Random,115,83
22,11,Random,115,72
23,11,Random,115,72
24,11,Random,115,81
25,11,Random,115,58
26,11,Random,115,69
27,11,Random,115,92
28,11,Random,115,81
29,11,Random,115,28
30,11,Random,115,28
31,11,Random,115,1
32,11,Random,115,55
33,11,Random,115,45
34,11,Random,115,90
35,11,Random,115,28
36,11,Random,115,-29
37,11,Random,115,81
38,11,Random,115,92
39,11,Random,115,-23
40,11,Random,115,42
41,11,Random,115,58
42,11,Random,115,92
43,11,Random,115,109
44,11,Random,115,115
45,11,Random,115,-51
46,11,Random,115,-51
47,11,Random,115,58
48,11,Random,115,28
49,11,Random,115,55
0,12,Random,499,183
1,12,Random,499,112
2,12,Random,499,88
3,12,Random,499,145
4,12,Random,499,145
5,12,Random,499,45
6,12,Random,499,15
7,12,Random,499,-739
8,12,Random,499,145
9,12,Random,499,103
10,12,Random,499,89
11,12,Random,499,103
12,12,Random,499,499
13,12,Random,499,12
14,12,Random,499,425
15,12,Random,499,88
16,12,Random,499,330
17,12,Random,499,-84
18,12,Random,499,184
19,12,Random,499,135
20,12,Random,499,116
21,12,Random,499,184
22,12,Random,499,88
23,12,Random,499,99
24,12,Random,499,104
25,12,Random,499,80
26,12,Random,499,113
27,12,Random,499,103
28,12,Random,499,425
29,12,Random,499,114
30,12,Random,499,114
31,12,Random,499,120
32,12,Random,499,89
33,12,Random,499,89
34,12,Random,499,-84
35,12,Random,499,114
36,12,Random,499,-739
37,12,Random,499,135
38,12,Random,499,103
39,12,Random,499,91
40,12,Random,499,103
41,12,Random,499,80
42,12,Random,499,103
43,12,Random,499,134
44,12,Random,499,170
45,12,Random,499,12
46,12,Random,499,116
47,12,Random,499,330
48,12,Random,499,114
